Reaction Formula,Relative Flux,Reaction Name
Glucose + PEP <=> G6P + PYR,2,Pts
G6P + NADP <=> 6PGL + NADPH,2,G6pdh
6PGL + H2O <=> 6PGC,2,Pgls
6PGC <=> KDPG + H2O,2,Edd
KDPG <=> PYR + GADP,2,Eda
Pi + NAD + GADP <=> NADH + BPG,2,Gap
BPG + ADP <=> 3PG + ATP,2,Pgk
3PG <=> 2PG,2,Pgam
2PG <=> PEP + H2O,2,Eno
PYR + CoA + NAD <=> AcCoA + CO2 + NADH,4,Pdh
AcCoA + AcCoA <=> AcAcCoA + CoA,2,PhaA
AcAcCoA + NADPH <=> HBCoA + NADP ,2,PhaB
HBCoA + HBCoA + H2O <=> PHB  + CoA + CoA,1,PhaC
